date_scraping,channel_name,channel_subscribers_number,title_video,hashtags_video,visualizations_video,date_upload_video,day_of_week_upload_video,converted_date_upload_video,likes_video,count_comments,username,comment_text,comment_text_and_emojis_used,date_comment,likes_comment,converted_date_comment,day_of_week_comment,emotion_comment,score_emotion
0,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",PelucheEn ElEstuche,"Aquí les dejo el video de como fue que mi súbdito el Alex Montiel, consiguió que se hiciera esto: https://www.youtube.com/watch?v=i_naASbXgPo&t=1s","['Aquí les dejo el video de como fue que mi súbdito el Alex Montiel, consiguió que se hiciera esto: https://www.youtube.com/watch?v=i_naASbXgPo&t=1s', []]",2 weeks ago,861,2023-02-05 11:22:03,Sunday,NEU,-0.013512417674064636
1,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Daniel Martínez,HASTA LA JEFA CLAUDIA ESTUVO MAS DIVERTIDA QUE LA DIVA DE LUISITO COMUNICA!!!!,"['HASTA LA JEFA CLAUDIA ESTUVO MAS DIVERTIDA QUE LA DIVA DE LUISITO COMUNICA!!!!', []]",2 weeks ago,9200,2023-02-05 11:22:03,Sunday,POS,0.9093839041888714
2,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Fernando Gutiérrez Urzúa,Me recuerda a los influencers hablando bien del partido verde en la campaña anterior.,"['Me recuerda a los influencers hablando bien del partido verde en la campaña anterior.', []]",13 days ago,1300,2023-02-06 11:22:03,Monday,NEU,-0.3285016492009163
3,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",ViKtoR,Próximamente el escorpión en las mañaneras en primera fila junto a lord molécula ,"['Próximamente el escorpión en las mañaneras en primera fila junto a lord molécula ', ['😂', '😂', '😂']]",12 days ago,477,2023-02-07 11:22:03,Tuesday,NEU,-0.010572031140327454
4,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Hugo Viesca,""" a la autoridad no se le aplaude, se le cuestiona""  ni tres doritos después procede a chuparle los pies jajaja","['"" a la autoridad no se le aplaude, se le cuestiona""  ni tres doritos después procede a chuparle los pies jajaja', []]",9 days ago,269,2023-02-10 11:22:03,Friday,NEG,-0.5284906476736069
5,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Fab Morningstar,Nada como una entrevista a modo para iniciar el finde,"['Nada como una entrevista a modo para iniciar el finde', []]",2 weeks ago,1100,2023-02-05 11:22:03,Sunday,POS,0.9240185567177832
6,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Jonathan Martz Producer,El escorpión Tiene 4 millones de Razones para hacerle la entrevista a sheimbaum,"['El escorpión Tiene 4 millones de Razones para hacerle la entrevista a sheimbaum', []]",11 days ago,108,2023-02-08 11:22:03,Wednesday,NEU,0.05537000298500061
7,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Leo Clonied,"Qué no se pierda la tradición, de decir que Luisito fue la invitada más apretada","['Qué no se pierda la tradición, de decir que Luisito fue la invitada más apretada', []]",2 weeks ago,5200,2023-02-05 11:22:03,Sunday,POS,0.8633186090737581
8,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Fernando Alejandro,"Uff nada mejor que ver campañas electorales antes de que sea legal hacerlo, vales mucho doraemon.","['Uff nada mejor que ver campañas electorales antes de que sea legal hacerlo, vales mucho doraemon.', []]",9 days ago (edited),13,2023-02-10 11:22:03,Friday,POS,0.9671245680656284
9,2023-02-19 11:00:55,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,2 weeks ago,Sunday,2023-02-05 11:22:03,59000,"8,797",Edgar,19:07 El Escorpión y Sheinbaum criticando la alianza PRI-PAN-PRD y TODOS los políticos de Morena vienen de esos mismos partidos ,"['19:07 El Escorpión y Sheinbaum criticando la alianza PRI-PAN-PRD y TODOS los políticos de Morena vienen de esos mismos partidos ', ['😆']]",11 days ago,22,2023-02-08 11:22:03,Wednesday,NEG,-0.780548183247447
